Period,consumer_sentiment,current_conditions,future_expectations,country_economic_conditions,city_economic_conditions,household_income,household_budget,discretionary_spending,household_spending,job_prospect,consumer_outlook,Country 
01/12/2016,4,-32,18,39,39,36,-9,-6,-13,-58,Neutral,South Africa
01/01/2017,22,-12,35,67,70,70,8,5,-38,-29,Positive,South Africa
01/02/2017,17,-32,36,84,86,86,3,-4,-77,-60,Positive,South Africa
01/03/2017,-14,-30,-8,8,9,13,-13,-9,-56,-51,Negative,South Africa
01/04/2017,-8,-16,-4,8,6,8,-10,-6,-33,-27,Negative,South Africa
01/05/2017,-2,-13,2,10,11,9,-6,-10,-16,-15,Negative,South Africa
01/06/2017,-3,-11,0,6,9,6,-11,-7,-12,-14,Negative,South Africa
01/07/2017,-5,-18,0,10,8,8,-14,-16,-13,-20,Negative,South Africa
01/08/2017,-21,-38,-14,-12,-11,-11,-12,-19,-22,-58,Negative,South Africa
01/09/2017,-18,-36,-10,-5,-7,-7,-14,-14,-17,-58,Negative,South Africa
01/10/2017,-9,-24,-3,3,3,4,-14,-9,-12,-40,Negative,South Africa
01/11/2017,-14,-22,-11,-9,-8,-8,-16,-16,-13,-28,Negative,South Africa
01/12/2017,-5,-15,-1,4,4,6,-14,-13,-7,-16,Negative,South Africa
01/01/2018,1,-10,6,13,14,12,-7,-5,-1,-16,Neutral,South Africa
01/02/2018,4,-6,8,14,13,11,-3,-2,3,-11,Neutral,South Africa
01/03/2018,2,-7,6,11,13,10,-6,-3,3,-11,Neutral,South Africa
01/04/2018,-3,-12,1,5,4,6,-12,-9,0,-14,Negative,South Africa
01/05/2018,-2,-11,2,8,6,5,-9,-8,-2,-14,Negative,South Africa
01/06/2018,1,-6,4,6,7,10,-4,-3,2,-9,Neutral,South Africa
01/07/2018,-2,-4,-1,-1,-1,2,0,-3,-3,-5,Negative,South Africa
01/08/2018,-1,-10,2,6,7,9,-8,-7,-2,-13,Negative,South Africa
01/09/2018,2,-6,5,7,7,11,-4,-3,3,-10,Neutral,South Africa
01/10/2018,0,-7,4,10,8,8,-6,-6,-2,-8,Neutral,South Africa
01/11/2018,-2,-12,2,7,5,8,-7,-9,-5,-15,Negative,South Africa
01/12/2018,-1,-10,3,8,7,9,-11,-7,0,-14,Negative,South Africa
01/01/2019,-2,-14,2,8,7,10,-11,-11,-4,-16,Negative,South Africa
01/02/2019,-1,-9,3,8,5,9,-8,-5,1,-12,Negative,South Africa
01/03/2019,-3,-11,0,4,4,4,-12,-9,-1,-13,Negative,South Africa
01/04/2019,-2,-12,2,7,7,7,-10,-9,-1,-15,Negative,South Africa
01/05/2019,0,-8,3,6,5,7,-6,-5,1,-11,Neutral,South Africa
01/06/2019,-2,-12,2,8,7,7,-11,-9,-1,-16,Negative,South Africa
01/07/2019,0,-8,3,8,6,7,-7,-5,0,-11,Neutral,South Africa
01/08/2019,-3,-13,2,8,5,8,-10,-8,-4,-18,Negative,South Africa
01/09/2019,0,-8,3,7,8,7,-9,-6,1,-10,Neutral,South Africa
01/10/2019,0,-6,2,6,6,5,-10,-6,2,-7,Neutral,South Africa
01/11/2019,-7,-17,-3,5,4,4,-20,-15,-9,-20,Negative,South Africa
01/12/2019,-4,-14,0,7,7,6,-14,-12,-5,-16,Negative,South Africa
01/01/2020,-3,-10,0,5,6,5,-10,-7,-4,-12,Negative,South Africa
01/02/2020,-5,-15,-1,5,4,6,-13,-13,-5,-18,Negative,South Africa
01/03/2020,-79,-88,-75,-73,-74,-70,-79,-85,-81,-90,Negative,South Africa
01/04/2020,-84,-96,-79,-70,-73,-72,-85,-95,-94,-97,Negative,South Africa
01/05/2020,-80,-93,-75,-64,-67,-71,-81,-92,-92,-95,Negative,South Africa
01/06/2020,-65,-89,-55,-41,-44,-46,-65,-84,-79,-94,Negative,South Africa
01/07/2020,-56,-78,-47,-35,-40,-41,-52,-63,-65,-93,Negative,South Africa
01/08/2020,-34,-60,-23,-10,-14,-16,-33,-42,-43,-79,Negative,South Africa
01/09/2020,-23,-49,-12,-6,-7,-7,-19,-19,-21,-79,Negative,South Africa
01/10/2020,-21,-45,-11,-4,-6,-6,-16,-23,-22,-68,Negative,South Africa
01/11/2020,-13,-40,-3,1,0,-3,-5,-6,-6,-75,Negative,South Africa
01/12/2020,-20,-49,-8,-3,-5,-7,-11,-13,-14,-84,Negative,South Africa
01/01/2021,-18,-40,-9,-4,-5,-6,-14,-14,-17,-67,Negative,South Africa
01/02/2021,-16,-39,-6,-2,-2,-4,-10,-13,-14,-65,Negative,South Africa
01/03/2021,-7,-21,-2,0,1,1,-5,-7,-7,-36,Negative,South Africa
01/04/2021,-9,-8,-10,-6,-8,-8,-12,-7,-14,-8,Negative,South Africa
01/05/2021,-6,-20,-1,-13,-8,14,5,1,-1,-41,Negative,South Africa
01/06/2021,10,-20,22,-16,0,54,50,19,23,-59,Neutral,South Africa
01/07/2021,-7,-40,6,-14,3,28,20,-12,-5,-69,Negative,South Africa
01/08/2021,3,-25,14,-8,0,45,35,5,-4,-55,Neutral,South Africa
01/09/2021,4,-21,14,3,6,40,29,-1,-10,-41,Neutral,South Africa
01/10/2021,1,-27,13,5,7,37,23,-4,-8,-51,Neutral,South Africa
01/11/2021,-5,-25,4,-5,-6,21,21,-10,-13,-41,Negative,South Africa
01/12/2021,2,-37,17,6,7,42,37,-3,-7,-71,Neutral,South Africa
01/01/2022,-5,-31,5,-42,-15,3,67,19,14,-82,Negative,South Africa
01/02/2022,-16,-35,-8,-72,10,9,1,11,13,-81,Negative,South Africa
01/03/2022,4,-8,8,15,-14,3,32,10,6,-26,Neutral,South Africa
01/04/2022,-14,-30,-8,-6,-5,-8,-12,-7,-9,-53,Negative,South Africa
01/05/2022,-23,-43,-15,-27,-9,-13,-21,-5,-7,-81,Negative,South Africa
01/06/2022,-35,-52,-28,-24,-34,-34,-17,-30,-29,-74,Negative,South Africa
01/07/2022,-47,-59,-43,-40,-44,-44,-25,-25,-60,-93,Negative,South Africa
01/08/2022,-87,-90,-85,-84,-84,-87,-84,-90,-89,-91,Negative,South Africa
01/09/2022,-28,-79,-7,2,1,1,-7,-78,-33,-80,Negative,South Africa
01/10/2022,-6,-5,-7,-7,-1,-7,-12,0,-7,-9,Negative,South Africa
01/11/2022,-1,-4,0,1,-3,-9,7,6,3,-14,Negative,South Africa
01/12/2022,18,7,23,27,29,25,-1,29,33,-16,Positive,South Africa
01/01/2023,32,18,37,45,47,33,16,35,44,1,Positive,South Africa
01/02/2023,-10,-8,-10,-8,-9,-10,-18,-15,-7,-2,Negative,South Africa
01/03/2023,13,-5,20,28,26,26,18,17,4,-27,Neutral,South Africa
01/04/2023,23,-4,34,36,30,34,42,40,30,-48,Positive,South Africa
01/05/2023,1,12,-3,7,-3,-11,-6,24,-2,0,Neutral,South Africa
01/06/2023,-2,2,-4,2,-2,-13,-2,18,-5,-13,Negative,South Africa
01/07/2023,-1,11,-6,-3,-6,-32,-2,30,11,-8,Negative,South Africa
01/08/2023,21,3,29,25,33,29,29,34,28,-28,Positive,South Africa
01/09/2023,28,21,31,33,35,16,34,51,37,-9,Positive,South Africa
01/10/2023,24,15,28,27,25,21,32,45,34,-15,Positive,South Africa
01/01/2017,4,-26,16,18,23,26,30,-16,-17,-37,Neutral,Tanzania
01/02/2017,-6,-34,6,13,12,18,9,-21,-25,-47,Negative,Tanzania
01/03/2017,-15,-44,-3,5,6,3,-5,-16,-25,-72,Negative,Tanzania
01/04/2017,0,-33,13,20,19,26,10,0,-9,-67,Neutral,Tanzania
01/05/2017,-5,-37,7,5,10,15,5,-15,1,-60,Negative,Tanzania
01/06/2017,0,-24,10,0,4,14,15,-4,18,-44,Neutral,Tanzania
01/07/2017,1,-15,8,0,7,11,18,3,2,-32,Neutral,Tanzania
01/08/2017,7,-27,21,12,13,21,25,-3,32,-51,Neutral,Tanzania
01/09/2017,-9,-33,1,1,1,12,9,-5,-19,-60,Negative,Tanzania
01/10/2017,-10,-39,2,9,10,6,4,-18,-20,-60,Negative,Tanzania
01/11/2017,-5,-33,6,6,5,11,6,-9,2,-57,Negative,Tanzania
01/12/2017,-15,-30,-9,-12,-13,-3,-3,-12,-15,-48,Negative,Tanzania
01/01/2018,-13,-43,-1,-3,-4,2,11,-14,-9,-72,Negative,Tanzania
01/02/2018,-1,-26,8,7,9,12,9,-5,5,-47,Negative,Tanzania
01/03/2018,-8,-33,1,3,-1,1,-5,-8,9,-58,Negative,Tanzania
01/04/2018,-5,-31,6,4,3,7,2,0,12,-63,Negative,Tanzania
01/05/2018,-11,-42,2,-2,-2,3,-7,-4,18,-81,Negative,Tanzania
01/06/2018,-9,-28,-1,-5,-4,-1,16,-4,-13,-52,Negative,Tanzania
01/07/2018,-9,-38,3,-6,-1,10,24,0,-12,-75,Negative,Tanzania
01/08/2018,-2,-18,4,7,-5,6,10,2,4,-37,Negative,Tanzania
01/09/2018,11,-4,17,11,12,18,34,23,9,-32,Neutral,Tanzania
01/10/2018,-8,-28,1,-5,-5,-4,19,2,-1,-58,Negative,Tanzania
01/11/2018,-15,-40,-4,-3,-4,-9,-9,-3,3,-77,Negative,Tanzania
01/12/2018,-6,-30,4,1,-2,3,9,-6,7,-53,Negative,Tanzania
01/01/2019,-10,-27,-3,-2,-2,3,21,3,-35,-57,Negative,Tanzania
01/02/2019,-1,-20,7,3,2,3,30,12,-4,-52,Negative,Tanzania
01/03/2019,-10,-24,-5,-5,-7,-8,-7,-5,4,-42,Negative,Tanzania
01/04/2019,-5,-29,5,0,2,2,12,4,8,-62,Negative,Tanzania
01/05/2019,4,-4,8,4,11,7,19,20,-2,-28,Neutral,Tanzania
01/06/2019,8,1,10,7,13,8,8,12,16,-10,Neutral,Tanzania
01/07/2019,-4,-25,5,2,6,9,21,6,-13,-56,Negative,Tanzania
01/08/2019,3,-16,11,6,7,10,20,13,11,-46,Neutral,Tanzania
01/09/2019,2,-17,9,7,8,11,15,7,5,-41,Neutral,Tanzania
01/10/2019,-16,-37,-8,-9,-9,-8,-13,-9,1,-66,Negative,Tanzania
01/11/2019,41,-12,62,89,89,87,38,45,6,-68,Positive,Tanzania
01/12/2019,14,4,18,18,21,20,22,26,12,-18,Neutral,Tanzania
01/01/2020,8,2,11,21,17,7,2,18,7,-14,Neutral,Tanzania
01/02/2020,9,3,11,9,13,14,-4,13,22,-8,Neutral,Tanzania
01/03/2020,-17,-13,-18,-24,-29,-23,-11,-7,-4,-19,Negative,Tanzania
01/04/2020,-24,-67,-7,-66,-64,-2,28,-52,70,-81,Negative,Tanzania
01/05/2020,-36,-46,-32,-40,-36,-27,-4,-14,-54,-78,Negative,Tanzania
01/06/2020,15,4,19,28,16,20,14,29,16,-21,Neutral,Tanzania
01/07/2020,-10,-26,-3,-10,-8,-1,4,1,-2,-52,Negative,Tanzania
01/08/2020,13,-14,24,31,28,28,12,3,24,-32,Neutral,Tanzania
01/09/2020,-9,-31,0,6,5,5,5,-2,-20,-60,Negative,Tanzania
01/10/2020,22,-32,44,65,63,62,7,9,20,-72,Positive,Tanzania
01/11/2020,37,-20,60,91,90,90,7,9,20,-49,Positive,Tanzania
01/12/2020,24,-5,35,50,54,45,18,23,9,-33,Positive,Tanzania
01/01/2021,32,6,42,57,60,57,21,19,15,-6,Positive,Tanzania
01/02/2021,5,-15,13,17,16,12,18,14,2,-43,Neutral,Tanzania
01/03/2021,13,4,17,15,22,17,13,38,16,-29,Neutral,Tanzania
01/04/2021,-1,-20,7,7,11,12,24,5,-20,-46,Negative,Tanzania
01/05/2021,6,-21,17,15,20,17,16,13,17,-55,Neutral,Tanzania
01/06/2021,16,-11,26,30,29,29,19,39,22,-60,Positive,Tanzania
01/07/2021,8,-18,18,6,7,27,32,4,20,-41,Neutral,Tanzania
01/08/2021,11,-36,30,30,30,31,30,18,32,-90,Neutral,Tanzania
01/09/2021,17,-25,34,31,30,30,35,31,42,-82,Positive,Tanzania
01/10/2021,8,-38,27,36,39,28,10,-19,20,-56,Neutral,Tanzania
01/11/2021,4,-17,13,10,14,13,15,5,11,-39,Neutral,Tanzania
01/12/2021,17,-6,26,30,27,25,25,27,23,-39,Positive,Tanzania
01/01/2022,16,-37,37,38,53,43,29,-22,23,-52,Positive,Tanzania
01/02/2022,11,-26,25,1,48,46,17,-14,14,-38,Neutral,Tanzania
01/03/2022,23,-13,37,49,46,46,20,9,24,-35,Positive,Tanzania
01/04/2022,7,-18,17,18,24,25,2,-4,16,-33,Neutral,Tanzania
01/05/2022,11,-5,17,16,25,26,11,12,8,-22,Neutral,Tanzania
01/06/2022,25,-17,42,43,50,46,35,15,34,-49,Positive,Tanzania
01/07/2022,22,-3,32,36,33,36,29,23,27,-29,Positive,Tanzania
01/08/2022,9,-8,15,16,18,21,8,8,14,-24,Neutral,Tanzania
01/09/2022,22,-39,47,53,54,52,33,-22,40,-55,Positive,Tanzania
01/10/2022,29,-33,54,62,66,64,23,5,53,-71,Positive,Tanzania
01/11/2022,22,-27,42,52,56,43,31,12,28,-66,Positive,Tanzania
01/12/2022,20,-24,37,45,49,47,17,14,25,-61,Positive,Tanzania
01/01/2023,12,-42,33,42,44,36,4,-17,39,-68,Neutral,Tanzania
01/02/2023,8,-33,25,27,28,27,9,-10,34,-57,Neutral,Tanzania
01/03/2023,24,-38,49,58,57,54,38,-6,35,-69,Positive,Tanzania
01/04/2023,35,-32,62,76,74,71,40,3,49,-67,Positive,Tanzania
01/05/2023,37,-24,62,67,67,67,52,4,57,-53,Positive,Tanzania
01/06/2023,30,-29,53,63,61,57,54,-7,30,-50,Positive,Tanzania
01/07/2023,24,-19,41,48,47,47,21,8,41,-46,Positive,Tanzania
01/08/2023,16,-25,32,38,42,42,6,4,35,-55,Positive,Tanzania
01/09/2023,15,-18,28,29,25,28,11,13,49,-48,Neutral,Tanzania
01/10/2023,17,-22,33,27,30,31,14,26,61,-71,Positive,Tanzania
01/07/2021,-15,-33,-8,-7,-13,4,-6,1,-19,-66,Negative,Tunisia
01/08/2021,-5,-24,3,8,7,5,-1,3,-4,-52,Negative,Tunisia
01/09/2021,1,-7,4,9,9,11,0,-1,-7,-12,Neutral,Tunisia
01/10/2021,1,-14,7,12,9,9,-4,15,11,-42,Neutral,Tunisia
01/11/2021,-5,-4,-6,-2,-5,-12,-5,8,-4,-15,Negative,Tunisia
01/12/2021,-17,-36,-9,-16,-19,-16,35,-24,-29,-49,Negative,Tunisia
01/01/2022,-7,-10,-6,-2,-3,-4,-15,-4,-5,-16,Negative,Tunisia
01/02/2022,-6,-16,-3,-11,-2,-2,-4,-7,6,-24,Negative,Tunisia
01/03/2022,0,-12,4,-1,-6,11,9,8,8,-32,Neutral,Tunisia
01/04/2022,7,21,2,-10,11,-7,20,37,-6,4,Neutral,Tunisia
01/05/2022,14,-4,21,11,35,12,10,20,35,-27,Neutral,Tunisia
01/06/2022,-6,-8,-5,-6,-9,-15,4,-9,-2,-6,Negative,Tunisia
01/07/2022,7,22,1,6,13,-6,-24,15,18,28,Neutral,Tunisia
01/08/2022,19,32,14,27,37,-2,-29,11,39,53,Positive,Tunisia
01/09/2022,-21,-17,-23,-25,-31,-23,-12,-18,-25,-16,Negative,Tunisia
01/10/2022,-17,-10,-20,-28,-23,-23,-22,1,-6,-21,Negative,Tunisia
01/11/2022,-17,-24,-14,-17,-28,-34,12,-4,-2,-43,Negative,Tunisia
01/12/2022,-34,-30,-36,-58,-54,-39,-20,2,-6,-62,Negative,Tunisia
01/01/2023,-39,-30,-42,-45,-54,-51,-44,-6,-18,-54,Negative,Tunisia
01/02/2023,-26,-21,-28,-25,-28,-33,-35,-3,-16,-40,Negative,Tunisia
01/03/2023,-25,-30,-23,-23,-32,-33,-3,-3,-26,-58,Negative,Tunisia
01/04/2023,-41,-41,-41,-33,-47,-59,-20,-7,-48,-75,Negative,Tunisia
01/05/2023,-44,-24,-53,-59,-62,-53,-48,9,-41,-57,Negative,Tunisia
01/06/2023,-42,-28,-47,-56,-55,-49,-45,6,-32,-61,Negative,Tunisia
01/07/2023,5,-11,11,4,-1,-9,56,25,5,-47,Neutral,Tunisia
01/08/2023,-34,-8,-44,-50,-61,-65,-23,15,-22,-30,Negative,Tunisia
01/09/2023,-33,-13,-40,-48,-51,-59,-34,25,-9,-51,Negative,Tunisia
01/10/2023,-30,-17,-35,-45,-57,-50,-8,17,-14,-51,Negative,Tunisia
01/07/2022,-3,-16,2,-1,1,4,12,-16,-9,-16,Negative,Uganda
01/08/2022,-7,-18,-3,6,0,-1,2,-14,-21,-22,Negative,Uganda
01/09/2022,8,-12,16,18,15,16,34,13,-2,-37,Neutral,Uganda
01/10/2022,-11,-28,-4,-11,-16,-5,38,19,-25,-75,Negative,Uganda
01/11/2022,-9,-31,0,-6,-9,-7,25,7,-5,-68,Negative,Uganda
01/12/2022,1,-17,7,0,3,5,38,23,-8,-57,Neutral,Uganda
01/01/2023,9,-5,14,16,10,11,45,30,-10,-41,Neutral,Uganda
01/02/2023,2,-7,6,7,9,0,53,42,-40,-55,Neutral,Uganda
01/03/2023,-8,-19,-4,-8,-3,-1,37,29,-44,-67,Negative,Uganda
01/04/2023,4,-14,12,21,14,5,56,26,-38,-53,Neutral,Uganda
01/05/2023,-8,-29,1,13,14,11,26,17,-60,-75,Negative,Uganda
01/06/2023,-3,-18,4,8,9,8,47,32,-54,-68,Negative,Uganda
01/07/2023,23,19,24,26,29,18,24,43,25,-5,Positive,Uganda
01/08/2023,0,-10,4,-1,2,8,56,48,-45,-68,Neutral,Uganda
01/09/2023,-7,-14,-4,-8,-6,-8,42,40,-42,-69,Negative,Uganda
01/10/2023,16,7,19,15,8,14,76,36,-17,-23,Positive,Uganda
01/02/2022,2,-27,13,-38,46,42,14,20,2,-73,Neutral,Zambia
01/03/2022,-6,-30,4,9,9,11,2,-9,-10,-52,Negative,Zambia
01/04/2022,-30,-49,-23,-8,-15,-15,-22,-40,-53,-58,Negative,Zambia
01/05/2022,15,-21,30,43,47,46,14,-11,0,-31,Neutral,Zambia
01/06/2022,-6,-33,5,12,13,28,6,-9,-32,-57,Negative,Zambia
01/07/2022,7,-20,18,33,34,28,9,-12,-13,-29,Neutral,Zambia
01/08/2022,24,-5,35,41,44,45,24,12,21,-22,Positive,Zambia
01/09/2022,27,-30,50,77,75,75,16,-18,8,-42,Positive,Zambia
01/10/2022,18,-4,26,43,43,43,15,-3,-13,-4,Positive,Zambia
01/11/2022,20,-18,35,37,40,34,34,18,29,-54,Positive,Zambia
01/12/2022,14,-5,21,28,24,23,17,19,15,-29,Neutral,Zambia
01/01/2023,8,-6,13,11,14,23,10,15,7,-26,Neutral,Zambia
01/02/2023,15,0,20,26,19,26,16,30,15,-30,Neutral,Zambia
01/03/2023,9,-14,18,24,25,12,21,8,10,-37,Neutral,Zambia
01/05/2023,41,25,47,46,51,48,45,56,45,-6,Positive,Zambia
01/06/2023,46,29,53,52,57,57,50,60,48,-2,Positive,Zambia
01/07/2023,41,20,49,51,48,48,52,42,47,-1,Positive,Zambia
01/08/2023,28,3,39,41,47,42,36,35,26,-30,Positive,Zambia
01/09/2023,21,8,27,32,35,26,25,30,15,-15,Positive,Zambia
01/10/2023,31,19,36,39,48,28,33,56,30,-18,Positive,Zambia
