Period,consumer_sentiment,current_conditions,future_expectations,country_economic_conditions,city_economic_conditions,household_income,household_budget,discretionary_spending,household_spending,job_prospect,consumer_outlook,Country 
01/05/2023,27,30,26,26,25,26,36,55,17,5,Positive,Congo
01/06/2023,30,22,34,41,26,39,28,38,35,5,Positive,Congo
01/07/2023,0,-38,15,21,25,23,39,-11,-34,-65,Neutral,Congo
01/08/2023,22,6,29,36,31,29,29,39,20,-27,Positive,Congo
01/09/2023,36,18,43,51,48,33,47,48,37,-12,Positive,Congo
01/10/2023,62,33,73,77,74,61,80,87,75,-21,Positive,Congo
01/04/2021,10,-36,28,24,43,53,32,-20,-10,-51,Neutral,DRC
01/05/2021,13,-19,26,11,12,34,61,5,11,-43,Neutral,DRC
01/06/2021,-14,-42,-3,-23,-20,9,36,-20,-16,-64,Negative,DRC
01/07/2021,-22,-39,-15,-32,-29,-12,49,-26,-49,-52,Negative,DRC
01/08/2021,-19,-47,-8,-21,-21,2,53,-37,-53,-57,Negative,DRC
01/09/2021,-28,-54,-18,-33,-36,-16,55,-34,-58,-75,Negative,DRC
01/10/2021,-28,-47,-20,-39,-35,-21,49,-37,-55,-57,Negative,DRC
01/11/2021,-18,-34,-11,-23,-27,-6,48,-21,-50,-47,Negative,DRC
01/12/2021,-18,-48,-6,-21,-17,-7,66,-37,-51,-59,Negative,DRC
01/01/2022,-19,-56,-4,-25,-23,-5,80,-46,-48,-65,Negative,DRC
01/02/2022,-20,-47,-10,-39,-21,0,66,-33,-55,-61,Negative,DRC
01/03/2022,-22,-55,-9,-29,-29,-13,80,-40,-53,-71,Negative,DRC
01/04/2022,-18,-66,1,-16,-5,13,78,-54,-64,-79,Negative,DRC
01/05/2022,-31,-62,-19,-45,-39,-24,94,-54,-80,-70,Negative,DRC
01/06/2022,-20,-54,-6,-23,-16,-19,77,-35,-49,-73,Negative,DRC
01/07/2022,-14,-44,-2,-21,-19,-11,81,-23,-42,-64,Negative,DRC
01/08/2022,-13,-47,0,-14,-17,-3,79,-32,-43,-61,Negative,DRC
01/09/2022,-21,-58,-7,-27,-27,-15,85,-46,-49,-69,Negative,DRC
01/10/2022,-3,-39,11,2,4,27,58,-20,-36,-59,Negative,DRC
01/11/2022,-13,-48,1,-12,-4,14,48,-24,-39,-71,Negative,DRC
01/12/2022,-19,-52,-6,-22,-30,-13,76,-39,-40,-65,Negative,DRC
01/01/2023,-23,-52,-12,-32,-35,-29,80,-40,-42,-64,Negative,DRC
01/02/2023,-14,-37,-5,-24,-28,-24,78,-17,-27,-57,Negative,DRC
01/03/2023,-20,-41,-12,-36,-29,-34,79,-29,-37,-53,Negative,DRC
01/04/2023,-18,-51,-5,-9,-29,-14,68,-35,-39,-67,Negative,DRC
01/05/2023,-20,-56,-6,-21,-31,-10,71,-38,-40,-73,Negative,DRC
01/06/2023,-24,-54,-11,-32,-27,-21,77,-30,-54,-78,Negative,DRC
01/07/2023,-33,-53,-24,-52,-49,-47,89,-37,-62,-70,Negative,DRC
01/08/2023,-37,-62,-27,-54,-50,-54,79,-52,-56,-73,Negative,DRC
01/09/2023,-41,-68,-30,-64,-59,-49,90,-53,-68,-83,Negative,DRC
