Month,ICS -Consumer Sentiment,ICC - Current Conditions,ICE - Future Expectations,Country Economic Conditions,City Economic Conditions,Household Income,Household Budget,Discretionary Spending,Household Spending,Job Prospect,Country 
Jan-22,11,8,12,17,14,6,-2,12,23,4,Algeria
Feb-22,-6,-5,-6,1,-5,-7,-8,10,-13,-19,Algeria
Mar-22,-6,-20,0,27,-15,-9,-17,-25,13,-14,Algeria
Apr-22,24,-7,37,43,17,49,26,28,49,-42,Algeria
May-22,-7,-26,0,-12,8,1,-7,3,10,-54,Algeria
Jun-22,7,-3,11,8,0,-4,29,9,23,-14,Algeria
Jul-22,12,19,9,16,14,-9,-11,42,35,-3,Algeria
Aug-22,12,29,5,14,16,-12,-25,34,33,25,Algeria
Sep-22,4,-13,10,22,19,5,-6,18,11,-44,Algeria
Oct-22,-9,7,-15,-10,-10,-20,-32,-3,-1,17,Algeria
Nov-22,6,-17,15,24,20,2,21,6,8,-39,Algeria
Dec-22,14,29,8,-2,13,5,-8,35,31,23,Algeria
Jan-23,17,44,6,9,12,-4,-8,38,21,49,Algeria
Feb-23,18,26,15,17,20,15,-2,30,24,22,Algeria
Mar-23,3,-6,7,20,6,-28,16,6,20,-17,Algeria
Apr-23,15,-16,28,27,24,26,27,20,37,-52,Algeria
May-23,15,-1,22,25,28,10,29,20,19,-22,Algeria
Jun-23,32,34,31,31,37,16,42,50,31,17,Algeria
Jul-23,21,14,24,17,23,-6,41,49,46,-22,Algeria
Aug-23,27,1,37,40,45,26,33,36,40,-33,Algeria
Sep-23,37,10,48,58,58,23,44,56,58,-36,Algeria
Oct-23,22,12,26,29,26,-3,23,-19,55,43,Algeria
Apr-22,-26,-53,-16,-45,-22,-48,68,-40,-32,-66,Angola
May-22,-35,-69,-21,-46,-54,-46,91,-57,-49,-82,Angola
Jun-22,-35,-63,-23,-53,-45,-58,85,-53,-45,-73,Angola
Jul-22,-27,-56,-15,-44,-42,-28,87,-49,-50,-62,Angola
Aug-22,-10,-44,4,-12,-12,-2,80,-29,-33,-59,Angola
Sep-22,-28,-69,-12,-34,-35,-12,88,-66,-67,-71,Angola
Oct-22,-24,-48,-15,-33,-49,-32,81,-34,-42,-62,Angola
Nov-22,-26,-46,-18,-48,-49,-46,91,-35,-37,-58,Angola
Dec-22,66,20,84,98,97,96,66,39,63,1,Angola
Jan-23,38,7,50,71,76,69,20,16,16,-2,Angola
Feb-23,22,2,30,48,50,47,4,4,0,0,Angola
Mar-23,15,1,21,31,31,29,4,7,9,-4,Angola
Apr-23,5,-1,7,13,5,14,1,18,2,-19,Angola
May-23,44,8,58,58,57,48,65,65,64,-48,Angola
Jun-23,37,40,36,41,37,18,39,50,46,30,Angola
Jul-23,46,35,51,53,66,22,48,75,64,-5,Angola
Aug-23,26,17,30,33,28,31,29,33,29,0,Angola
Sep-23,23,16,26,27,25,28,27,31,25,0,Angola
Oct-23,20,18,22,32,30,6,34,35,4,0,Angola
Jun-16,19,-1,27,36,27,27,35,31,12,-33,Cameroon
Jul-16,12,2,15,19,13,14,21,27,9,-22,Cameroon
Aug-16,15,0,22,26,13,20,28,25,22,-26,Cameroon
Sep-16,21,2,28,24,29,29,38,39,19,-35,Cameroon
Oct-16,22,12,26,24,22,26,32,43,25,-18,Cameroon
Nov-16,15,14,16,18,18,11,13,35,19,-8,Cameroon
Dec-16,16,10,18,14,20,22,11,29,23,-8,Cameroon
Jan-17,16,5,20,20,14,22,18,23,25,-13,Cameroon
Feb-17,11,3,14,16,15,12,15,19,10,-13,Cameroon
Mar-17,11,7,13,7,14,16,12,19,16,-4,Cameroon
Apr-17,21,12,25,26,25,23,22,36,31,-11,Cameroon
May-17,17,10,20,21,16,18,16,22,27,-2,Cameroon
Jun-17,14,13,15,8,15,12,11,20,27,7,Cameroon
Jul-17,13,15,11,5,13,11,6,17,21,13,Cameroon
Aug-17,12,3,16,16,9,15,18,20,22,-14,Cameroon
Sep-17,10,3,13,13,19,5,12,13,18,-7,Cameroon
Oct-17,9,5,10,17,4,4,14,18,13,-8,Cameroon
Nov-17,16,15,16,20,15,14,17,33,17,-3,Cameroon
Dec-17,11,9,12,11,15,8,12,15,15,2,Cameroon
Jan-18,9,7,9,8,10,2,11,4,14,10,Cameroon
Feb-18,8,-1,11,16,9,2,15,-4,14,2,Cameroon
Mar-18,7,16,3,4,1,-3,4,20,10,12,Cameroon
Apr-18,17,20,15,23,15,11,10,21,18,19,Cameroon
May-18,13,10,14,15,16,14,17,14,9,7,Cameroon
Jun-18,12,-3,18,27,18,17,19,9,11,-16,Cameroon
Jul-18,7,-4,11,20,11,12,11,4,2,-11,Cameroon
Aug-18,13,-9,22,30,18,26,24,-1,12,-16,Cameroon
Sep-18,7,-4,11,16,16,12,7,5,5,-14,Cameroon
Oct-18,-2,-15,4,6,2,2,2,-1,8,-30,Cameroon
Nov-18,8,-11,16,15,15,15,17,17,16,-39,Cameroon
Dec-18,6,-9,12,18,12,8,7,2,16,-19,Cameroon
Jan-19,6,-1,8,14,8,11,-1,-1,10,-1,Cameroon
Feb-19,-3,-5,-2,0,0,0,-5,-5,-6,-5,Cameroon
Mar-19,-10,-19,-6,-4,-6,3,-11,-11,-12,-26,Cameroon
Apr-19,0,-7,3,4,6,1,-1,-3,3,-11,Cameroon
May-19,3,-4,5,6,6,-1,8,8,8,-15,Cameroon
Jun-19,2,-5,5,3,7,6,2,7,6,-17,Cameroon
Jul-19,-8,-18,-5,4,-5,-4,-11,-10,-7,-25,Cameroon
Aug-19,6,-7,12,15,15,9,8,7,11,-21,Cameroon
Sep-19,7,-4,12,10,10,18,2,3,18,-11,Cameroon
Oct-19,20,11,23,26,21,23,18,11,29,12,Cameroon
Nov-19,15,2,20,20,19,18,18,17,24,-13,Cameroon
Dec-19,10,1,14,17,14,10,14,8,13,-6,Cameroon
Jan-20,14,6,18,20,23,11,17,18,18,-6,Cameroon
Feb-20,-2,-2,-3,2,-3,-5,-4,-8,-2,5,Cameroon
Mar-20,11,5,13,17,11,16,11,5,10,5,Cameroon
Apr-20,4,2,5,12,4,3,2,5,4,-1,Cameroon
May-20,14,3,18,17,17,14,23,18,21,-12,Cameroon
Jun-20,10,1,14,12,14,12,17,14,16,-13,Cameroon
Jul-20,4,-1,5,6,-1,7,4,9,9,-11,Cameroon
Aug-20,-2,-9,1,-1,-4,1,8,2,1,-20,Cameroon
Sep-20,-2,-4,-2,-16,-8,0,11,12,4,-19,Cameroon
Oct-20,4,3,5,-10,-4,-2,20,22,21,-17,Cameroon
Nov-20,-3,-3,-3,-6,-8,-4,0,9,6,-16,Cameroon
Dec-20,0,0,0,-9,-8,-4,14,14,7,-13,Cameroon
Jan-21,0,0,0,-5,-3,-7,12,17,1,-16,Cameroon
Feb-21,6,0,8,6,7,10,15,7,6,-7,Cameroon
Mar-21,1,-6,4,3,3,6,12,8,-5,-21,Cameroon
Apr-21,6,5,7,11,8,5,11,27,-1,-17,Cameroon
May-21,11,3,15,15,13,9,15,25,23,-19,Cameroon
Jun-21,10,4,12,20,18,16,10,3,-5,5,Cameroon
Jul-21,14,0,20,25,22,25,13,13,15,-14,Cameroon
Aug-21,6,5,6,6,8,12,15,11,-12,0,Cameroon
Sep-21,11,9,12,15,13,13,18,18,1,0,Cameroon
Oct-21,12,5,15,5,15,27,26,32,0,-22,Cameroon
Nov-21,10,7,11,-1,13,18,21,29,4,-15,Cameroon
Dec-21,14,5,18,4,21,20,22,41,22,-31,Cameroon
Jan-22,3,-11,9,2,10,12,9,22,11,-45,Cameroon
Feb-22,5,-2,8,-18,18,12,10,28,18,-31,Cameroon
Mar-22,14,1,19,10,43,0,18,10,25,-8,Cameroon
Apr-22,10,7,11,7,21,4,16,22,8,-8,Cameroon
May-22,4,-5,7,7,4,20,8,11,-4,-22,Cameroon
Jun-22,-1,-12,3,1,7,-9,10,8,8,-31,Cameroon
Jul-22,4,5,4,4,4,8,5,23,-4,-13,Cameroon
Aug-22,13,0,18,15,17,15,25,26,16,-27,Cameroon
Sep-22,4,-6,8,9,7,6,11,15,8,-26,Cameroon
Oct-22,2,4,1,8,5,-4,-8,12,3,-3,Cameroon
Nov-22,0,-1,1,2,2,-11,14,15,-3,-17,Cameroon
Dec-22,-10,-16,-8,-11,-10,-8,-11,-5,0,-27,Cameroon
Jan-23,-6,-17,-1,4,6,2,-4,-11,-14,-23,Cameroon
Feb-23,4,-16,12,13,21,18,6,-9,1,-23,Cameroon
Mar-23,-4,-12,-1,-6,-4,-6,13,0,-2,-25,Cameroon
Apr-23,2,-12,8,10,3,2,18,8,5,-32,Cameroon
May-23,1,-4,3,6,6,4,-1,5,2,-12,Cameroon
Jun-23,-4,-5,-3,-6,0,-4,-4,7,0,-17,Cameroon
Jul-23,-12,-24,-8,-15,-14,-20,10,-4,-1,-43,Cameroon
Aug-23,3,-14,10,11,9,6,14,14,10,-42,Cameroon
Sep-23,3,-13,9,6,6,1,18,19,14,-45,Cameroon
Oct-23,7,-21,19,15,12,14,23,17,29,-58,Cameroon
Apr-21,-10,-29,-3,-1,-2,-1,2,-2,-15,-56,Congo
May-21,-8,-21,-2,0,-1,2,-4,-6,-8,-36,Congo
Jun-21,-7,-22,-1,2,2,1,-3,-4,-7,-39,Congo
Jul-21,-7,-28,2,11,10,9,-5,-8,-15,-48,Congo
Aug-21,-6,-10,-4,2,3,5,-10,-9,-20,-11,Congo
Sep-21,-15,-16,-15,-13,-14,-11,-19,-15,-21,-16,Congo
Oct-21,-23,-28,-21,-16,-18,-19,-26,-25,-28,-30,Congo
Nov-21,-27,-33,-24,-15,-22,-22,-29,-28,-33,-38,Congo
Dec-21,-26,-42,-19,-16,-18,-15,-20,-33,-28,-51,Congo
Jan-22,-8,-33,2,6,8,7,-1,-12,-8,-54,Congo
Feb-22,-11,-33,-3,-6,2,1,-3,-16,-8,-50,Congo
Mar-22,-12,-27,-6,-3,-2,-2,-7,-15,-17,-40,Congo
Apr-22,-8,-27,-1,6,3,3,-6,-18,-10,-37,Congo
May-22,-3,-20,4,8,9,9,2,-7,-8,-33,Congo
Jun-22,-20,-44,-11,-10,-9,-5,-11,-21,-19,-67,Congo
Jul-22,-11,-30,-4,-4,-4,-3,-1,-2,-5,-58,Congo
Aug-22,-17,-28,-12,-17,-18,-12,-8,-3,-6,-53,Congo
Sep-22,-18,-42,-8,4,0,-3,-2,-23,-40,-62,Congo
Oct-22,-1,-11,3,5,7,7,2,-1,-5,-20,Congo
Nov-22,-12,-20,-9,-11,-6,-26,1,7,-1,-47,Congo
Dec-22,4,-7,9,21,8,9,-16,10,22,-24,Congo
Jan-23,25,10,31,38,39,29,9,51,39,-30,Congo
Feb-23,28,8,36,33,42,35,30,46,39,-30,Congo
Mar-23,-6,-26,2,-6,-7,-19,52,-13,-8,-40,Congo
Apr-23,0,-26,11,23,15,13,10,8,-8,-59,Congo
May-23,27,30,26,26,25,26,36,55,17,5,Congo
Jun-23,30,22,34,41,26,39,28,38,35,5,Congo
Jul-23,0,-38,15,21,25,23,39,-11,-34,-65,Congo
Aug-23,22,6,29,36,31,29,29,39,20,-27,Congo
Sep-23,36,18,43,51,48,33,47,48,37,-12,Congo
Oct-23,62,33,73,77,74,61,80,87,75,-21,Congo
Apr-21,10,-36,28,24,43,53,32,-20,-10,-51,DRC
May-21,13,-19,26,11,12,34,61,5,11,-43,DRC
Jun-21,-14,-42,-3,-23,-20,9,36,-20,-16,-64,DRC
Jul-21,-22,-39,-15,-32,-29,-12,49,-26,-49,-52,DRC
Aug-21,-19,-47,-8,-21,-21,2,53,-37,-53,-57,DRC
Sep-21,-28,-54,-18,-33,-36,-16,55,-34,-58,-75,DRC
Oct-21,-28,-47,-20,-39,-35,-21,49,-37,-55,-57,DRC
Nov-21,-18,-34,-11,-23,-27,-6,48,-21,-50,-47,DRC
Dec-21,-18,-48,-6,-21,-17,-7,66,-37,-51,-59,DRC
Jan-22,-19,-56,-4,-25,-23,-5,80,-46,-48,-65,DRC
Feb-22,-20,-47,-10,-39,-21,0,66,-33,-55,-61,DRC
Mar-22,-22,-55,-9,-29,-29,-13,80,-40,-53,-71,DRC
Apr-22,-18,-66,1,-16,-5,13,78,-54,-64,-79,DRC
May-22,-31,-62,-19,-45,-39,-24,94,-54,-80,-70,DRC
Jun-22,-20,-54,-6,-23,-16,-19,77,-35,-49,-73,DRC
Jul-22,-14,-44,-2,-21,-19,-11,81,-23,-42,-64,DRC
Aug-22,-13,-47,0,-14,-17,-3,79,-32,-43,-61,DRC
Sep-22,-21,-58,-7,-27,-27,-15,85,-46,-49,-69,DRC
Oct-22,-3,-39,11,2,4,27,58,-20,-36,-59,DRC
Nov-22,-13,-48,1,-12,-4,14,48,-24,-39,-71,DRC
Dec-22,-19,-52,-6,-22,-30,-13,76,-39,-40,-65,DRC
Jan-23,-23,-52,-12,-32,-35,-29,80,-40,-42,-64,DRC
Feb-23,-14,-37,-5,-24,-28,-24,78,-17,-27,-57,DRC
Mar-23,-20,-41,-12,-36,-29,-34,79,-29,-37,-53,DRC
Apr-23,-18,-51,-5,-9,-29,-14,68,-35,-39,-67,DRC
May-23,-20,-56,-6,-21,-31,-10,71,-38,-40,-73,DRC
Jun-23,-24,-54,-11,-32,-27,-21,77,-30,-54,-78,DRC
Jul-23,-33,-53,-24,-52,-49,-47,89,-37,-62,-70,DRC
Aug-23,-37,-62,-27,-54,-50,-54,79,-52,-56,-73,DRC
Sep-23,-41,-68,-30,-64,-59,-49,90,-53,-68,-83,DRC
Oct-23,-39,-63,-30,-62,-55,-64,93,-62,-62,-64,DRC
Jan-22,18,-1,25,35,32,32,21,-4,7,1,Egypt
Feb-22,-2,-25,8,-5,4,16,53,-46,-28,-5,Egypt
Mar-22,14,-23,29,30,31,38,69,-36,-22,-9,Egypt
Apr-22,12,0,16,17,17,19,64,3,-35,-2,Egypt
May-22,22,6,28,25,25,34,50,17,8,-6,Egypt
Jun-22,24,-1,34,35,33,38,37,1,27,-3,Egypt
Jul-22,31,3,42,40,39,41,34,2,57,4,Egypt
Aug-22,49,1,68,76,72,75,55,4,60,-2,Egypt
Sep-22,45,3,62,70,69,70,36,15,67,-9,Egypt
Oct-22,-13,-27,-7,-7,-9,-11,-3,-20,-6,-33,Egypt
Nov-22,-21,-23,-20,-25,-28,-27,-6,-18,-13,-28,Egypt
Dec-22,16,7,20,21,30,18,-2,28,31,-13,Egypt
Jan-23,41,27,46,47,59,41,28,56,55,-2,Egypt
Feb-23,-25,-55,-13,-7,-9,-1,-34,-31,-13,-78,Egypt
Mar-23,38,1,53,42,45,43,65,3,71,-1,Egypt
Apr-23,31,-11,48,25,28,46,52,-13,87,-9,Egypt
May-23,39,-7,58,57,57,50,44,-9,80,-5,Egypt
Jun-23,36,23,41,45,46,34,33,51,47,-5,Egypt
Jul-23,-3,2,-5,-1,0,-30,-1,18,9,-15,Egypt
Aug-23,65,39,76,75,80,75,80,77,69,1,Egypt
Sep-23,25,22,27,28,26,28,25,52,28,-7,Egypt
Oct-23,69,46,79,78,81,73,86,91,78,1,Egypt
Jun-16,1,-24,11,-6,-2,3,17,2,42,-49,Ghana
Jul-16,-5,-34,6,-23,-20,-7,31,-17,49,-51,Ghana
Aug-16,9,4,12,14,10,12,11,10,10,-2,Ghana
Sep-16,-2,-6,-1,-3,-3,-2,-2,-3,7,-9,Ghana
Oct-16,2,-31,16,-1,3,11,11,6,54,-68,Ghana
Nov-16,9,-6,15,7,15,19,23,3,11,-14,Ghana
Dec-16,36,14,44,58,56,65,69,46,-26,-19,Ghana
Jan-17,6,-4,11,13,12,14,15,8,-1,-17,Ghana
Feb-17,2,-4,5,0,1,6,11,6,4,-14,Ghana
Mar-17,33,11,42,34,46,64,79,48,-15,-27,Ghana
Apr-17,34,20,39,33,33,61,82,65,-14,-25,Ghana
May-17,44,19,54,40,45,80,89,62,19,-25,Ghana
Jun-17,37,16,45,32,40,61,74,57,19,-26,Ghana
Jul-17,28,14,33,15,21,45,75,52,10,-24,Ghana
Aug-17,38,22,44,41,40,49,78,65,14,-22,Ghana
Sep-17,37,24,42,39,45,40,80,69,7,-20,Ghana
Oct-17,35,13,44,42,44,60,68,54,7,-28,Ghana
Nov-17,12,3,15,-1,-1,35,48,22,-5,-16,Ghana
Dec-17,29,27,30,12,21,29,85,76,2,-22,Ghana
Jan-18,25,7,33,14,25,43,77,44,3,-29,Ghana
Feb-18,36,16,44,33,41,54,81,58,10,-26,Ghana
Mar-18,31,22,35,28,30,38,75,60,2,-16,Ghana
Apr-18,14,-6,22,15,19,31,53,22,-6,-34,Ghana
May-18,18,-14,31,0,43,0,43,14,71,-43,Ghana
Jun-18,41,-17,64,85,81,74,30,30,52,-63,Ghana
Jul-18,25,-30,48,73,73,78,11,-8,3,-51,Ghana
Aug-18,26,8,33,33,33,17,50,25,33,-8,Ghana
Sep-18,19,-17,33,100,33,0,33,0,0,-33,Ghana
Oct-18,12,11,13,16,18,13,2,27,16,-4,Ghana
Nov-18,-3,1,-5,3,-2,-9,-10,4,-7,-2,Ghana
Dec-18,-14,6,-21,-21,-16,-24,-21,-20,-24,32,Ghana
Jan-19,-12,4,-18,-7,-22,-22,-23,-25,-18,33,Ghana
Feb-19,-7,19,-17,-16,-24,-17,-15,-15,-13,54,Ghana
Mar-19,-22,8,-34,-34,-32,-40,-25,-23,-42,39,Ghana
Apr-19,-38,-14,-47,-40,-43,-45,-49,-58,-60,29,Ghana
May-19,-12,15,-23,-21,-22,-17,-21,-4,-32,35,Ghana
Jun-19,-37,-35,-38,-35,-31,-42,-34,-29,-47,-41,Ghana
Jul-19,-34,-30,-35,-40,-28,-42,-26,-33,-39,-28,Ghana
Aug-19,-34,-32,-35,-48,-43,-33,-29,-15,-25,-49,Ghana
Sep-19,-33,-24,-36,-43,-42,-40,-31,-12,-23,-37,Ghana
Oct-19,-32,-37,-30,-22,-33,-25,-37,-21,-35,-53,Ghana
Nov-19,-30,-29,-30,-47,-40,-13,-27,-18,-22,-39,Ghana
Dec-19,-16,-25,-12,-27,-19,1,-34,2,18,-51,Ghana
Jan-20,-2,-32,10,-18,1,17,17,3,31,-66,Ghana
Feb-20,-17,-41,-7,-35,-19,-7,-12,-7,38,-76,Ghana
Mar-20,-51,-73,-42,-46,-49,-44,-41,-52,-33,-93,Ghana
Apr-20,-21,-62,-5,-24,-14,4,-7,-36,15,-88,Ghana
May-20,-13,-50,2,-49,-22,21,-1,-5,62,-95,Ghana
Jun-20,-27,-55,-16,-29,-19,-12,-25,-29,4,-82,Ghana
Jul-20,-17,-48,-5,-28,-5,6,-10,-20,15,-75,Ghana
Aug-20,-7,-26,0,-12,-6,9,-2,-2,12,-51,Ghana
Sep-20,-16,-41,-6,-22,-11,2,-5,-31,5,-52,Ghana
Oct-20,-15,-37,-6,-16,-9,1,-9,-22,3,-51,Ghana
Nov-20,-2,-34,11,-1,6,23,7,-4,20,-65,Ghana
Dec-20,-3,-28,8,-5,2,13,7,-6,21,-49,Ghana
Jan-21,-3,-28,7,-11,-2,18,8,-5,21,-52,Ghana
Feb-21,-5,-28,5,-18,-10,13,10,-3,28,-54,Ghana
Mar-21,6,-22,18,-6,12,23,21,6,38,-51,Ghana
Apr-21,8,-21,19,-3,10,33,20,2,35,-44,Ghana
May-21,-3,-25,7,-17,-8,14,9,3,35,-53,Ghana
Jun-21,11,-18,22,2,14,36,26,15,33,-51,Ghana
Jul-21,11,-21,24,25,31,35,13,14,14,-57,Ghana
Aug-21,6,-15,15,18,14,17,18,8,7,-37,Ghana
Sep-21,10,-13,19,19,19,30,15,10,10,-35,Ghana
Oct-21,5,-21,16,13,13,26,17,11,11,-54,Ghana
Nov-21,15,-19,28,34,30,38,25,8,14,-46,Ghana
Dec-21,17,-13,29,32,35,38,16,25,26,-51,Ghana
Jan-22,-1,-24,9,9,12,19,4,-3,-1,-44,Ghana
Feb-22,-2,-15,3,-18,15,9,6,7,6,-36,Ghana
Mar-22,-8,-25,-1,3,5,-7,7,-3,-14,-46,Ghana
Apr-22,-1,-18,6,2,16,13,6,-2,-6,-35,Ghana
May-22,5,-14,13,2,9,28,20,0,5,-27,Ghana
Jun-22,3,-23,13,7,3,14,17,-7,25,-40,Ghana
Jul-22,7,-14,16,11,18,16,13,4,22,-31,Ghana
Aug-22,12,-21,25,28,26,36,18,2,16,-44,Ghana
Sep-22,2,-28,14,-6,-6,29,24,-10,27,-46,Ghana
Oct-22,5,-23,17,1,4,29,20,-1,28,-46,Ghana
Nov-22,13,-28,29,11,13,51,32,6,39,-62,Ghana
Dec-22,13,-35,32,29,28,59,15,-1,29,-68,Ghana
Jan-23,16,-33,35,35,34,60,20,0,27,-66,Ghana
Feb-23,16,-27,33,25,28,60,29,12,24,-66,Ghana
Mar-23,20,-31,41,53,50,65,25,8,11,-69,Ghana
Apr-23,21,-26,39,38,34,61,41,18,24,-70,Ghana
May-23,19,-14,32,20,22,52,39,28,27,-57,Ghana
Jun-23,18,-17,31,25,28,51,41,25,12,-59,Ghana
Jul-23,19,-26,37,22,23,64,50,18,26,-69,Ghana
Aug-23,15,-29,33,37,34,59,33,-4,4,-55,Ghana
Sep-23,22,-26,41,34,36,67,48,11,19,-63,Ghana
Oct-23,23,-36,46,59,61,70,46,-7,-5,-66,Ghana
Jun-16,-8,-39,4,19,5,10,26,-18,-38,-61,Ivory Coast
Jul-16,11,-14,21,33,24,19,33,19,-4,-48,Ivory Coast
Aug-16,-11,-21,-7,-9,-13,-2,-3,4,-9,-45,Ivory Coast
Sep-16,-12,-28,-6,-8,-9,-4,-1,7,-8,-64,Ivory Coast
Oct-16,-3,-21,4,10,3,7,6,7,-9,-49,Ivory Coast
Nov-16,-1,-22,7,11,3,8,9,19,4,-63,Ivory Coast
Dec-16,2,-27,13,11,15,17,12,16,10,-70,Ivory Coast
Jan-17,-7,-30,2,-2,4,3,14,-5,-9,-54,Ivory Coast
Feb-17,-3,-26,6,-1,3,7,21,3,3,-56,Ivory Coast
Mar-17,5,-22,15,7,17,19,22,8,12,-53,Ivory Coast
Apr-17,5,-26,17,18,18,20,13,22,14,-74,Ivory Coast
May-17,7,-9,13,9,18,15,17,13,6,-31,Ivory Coast
Jun-17,10,-5,16,15,21,18,7,17,16,-26,Ivory Coast
Jul-17,6,-6,11,10,6,14,11,10,13,-22,Ivory Coast
Aug-17,9,-15,19,21,19,27,18,17,11,-46,Ivory Coast
Sep-17,10,-15,20,23,19,23,17,18,17,-48,Ivory Coast
Oct-17,1,-19,8,5,7,9,25,-3,-4,-35,Ivory Coast
Nov-17,20,2,27,32,27,25,21,35,31,-31,Ivory Coast
Dec-17,22,-9,35,40,37,40,33,43,26,-61,Ivory Coast
Jan-18,22,-16,38,39,41,39,42,29,27,-61,Ivory Coast
Feb-18,21,-14,35,37,36,37,33,28,31,-56,Ivory Coast
Mar-18,19,-9,30,34,32,30,23,30,30,-48,Ivory Coast
Apr-18,15,-12,25,28,27,24,26,21,23,-46,Ivory Coast
May-18,16,-8,25,29,24,27,25,22,20,-37,Ivory Coast
Jun-18,17,-12,28,30,29,33,17,16,32,-41,Ivory Coast
Jul-18,18,-15,31,34,30,35,30,14,25,-45,Ivory Coast
Aug-18,16,-13,27,34,27,32,25,13,19,-39,Ivory Coast
Sep-18,18,-9,29,31,33,28,27,18,25,-37,Ivory Coast
Oct-18,15,-9,24,25,29,24,18,16,25,-33,Ivory Coast
Nov-18,18,-14,30,35,36,27,25,16,30,-43,Ivory Coast
Dec-18,20,-9,31,31,35,30,27,21,34,-39,Ivory Coast
Jan-19,13,-11,23,23,26,22,21,8,21,-31,Ivory Coast
Feb-19,15,-7,23,28,25,22,23,17,18,-31,Ivory Coast
Mar-19,17,-6,26,29,31,26,24,18,21,-31,Ivory Coast
Apr-19,15,-8,24,27,26,21,19,15,26,-31,Ivory Coast
May-19,18,-7,28,31,30,26,28,16,24,-30,Ivory Coast
Jun-19,14,-6,22,28,28,24,17,14,13,-25,Ivory Coast
Jul-19,14,-13,24,26,30,28,21,7,17,-32,Ivory Coast
Aug-19,18,-8,28,27,31,29,25,16,29,-33,Ivory Coast
Sep-19,16,-10,26,33,30,20,21,14,27,-34,Ivory Coast
Oct-19,15,-6,23,29,26,27,20,21,15,-33,Ivory Coast
Nov-19,17,-1,24,22,23,27,29,26,16,-28,Ivory Coast
Dec-19,15,-4,23,21,26,20,23,22,25,-30,Ivory Coast
Jan-20,10,-2,15,16,15,15,18,15,12,-20,Ivory Coast
Feb-20,9,-3,13,13,14,16,16,11,8,-17,Ivory Coast
Mar-20,7,-6,12,12,13,12,16,9,7,-21,Ivory Coast
Apr-20,7,-8,13,10,12,14,17,8,11,-24,Ivory Coast
May-20,14,-8,23,26,26,26,23,19,15,-36,Ivory Coast
Jun-20,13,-8,22,26,23,20,22,19,19,-35,Ivory Coast
Jul-20,14,-5,21,24,22,23,20,22,16,-32,Ivory Coast
Aug-20,13,-8,22,25,23,26,22,16,14,-33,Ivory Coast
Sep-20,-4,-8,-2,-2,-2,-3,1,2,-3,-18,Ivory Coast
Oct-20,1,-11,6,9,9,7,3,0,0,-22,Ivory Coast
Nov-20,6,-2,10,11,9,15,5,6,9,-10,Ivory Coast
Dec-20,9,-2,14,16,15,14,10,10,14,-13,Ivory Coast
Jan-21,4,-2,7,7,10,7,5,10,4,-13,Ivory Coast
Feb-21,-3,-14,2,1,3,5,3,1,-3,-29,Ivory Coast
Mar-21,3,-10,8,7,8,8,10,14,8,-34,Ivory Coast
Apr-21,18,-10,29,27,32,33,23,22,29,-42,Ivory Coast
May-21,6,-21,16,19,17,23,27,0,-6,-41,Ivory Coast
Jun-21,-2,-28,8,14,13,13,17,-12,-15,-43,Ivory Coast
Jul-21,11,-8,19,19,21,24,26,12,4,-29,Ivory Coast
Aug-21,6,-15,15,17,16,18,19,8,2,-38,Ivory Coast
Sep-21,5,-15,12,15,14,14,13,5,5,-34,Ivory Coast
Oct-21,9,-17,20,31,26,25,22,3,-4,-37,Ivory Coast
Nov-21,6,-24,18,28,22,28,16,-6,-4,-42,Ivory Coast
Dec-21,17,-23,33,40,41,40,39,11,7,-56,Ivory Coast
Jan-22,15,-19,28,39,36,30,28,21,8,-60,Ivory Coast
Feb-22,8,-11,16,-27,31,29,39,15,6,-37,Ivory Coast
Mar-22,10,-9,17,21,15,10,24,14,16,-31,Ivory Coast
Apr-22,10,-12,19,12,30,9,47,6,-4,-31,Ivory Coast
May-22,13,-14,23,18,30,28,34,3,7,-31,Ivory Coast
Jun-22,0,-16,6,10,8,-7,25,5,-4,-37,Ivory Coast
Jul-22,5,-8,10,11,15,6,14,16,2,-32,Ivory Coast
Aug-22,3,-30,16,27,21,14,32,-8,-12,-53,Ivory Coast
Sep-22,11,-24,24,30,28,28,41,5,-5,-52,Ivory Coast
Oct-22,22,-9,35,42,45,36,44,16,9,-34,Ivory Coast
Nov-22,18,-22,34,42,38,33,58,2,0,-46,Ivory Coast
Dec-22,16,-24,32,36,42,37,41,-3,2,-45,Ivory Coast
Jan-23,1,-23,11,11,14,5,3,20,21,-66,Ivory Coast
Feb-23,15,-30,33,47,45,38,41,-8,-7,-52,Ivory Coast
Mar-23,14,-24,29,39,40,30,48,-12,-10,-36,Ivory Coast
Apr-23,11,-36,30,46,33,30,49,-18,-9,-54,Ivory Coast
May-23,13,-31,31,43,44,28,41,-9,-3,-52,Ivory Coast
Jun-23,23,-17,38,55,51,44,34,7,8,-41,Ivory Coast
Jul-23,14,-24,30,42,36,32,43,-7,-6,-41,Ivory Coast
Aug-23,11,-24,25,39,35,28,34,-13,-10,-34,Ivory Coast
Sep-23,14,-17,26,37,39,35,34,0,-12,-33,Ivory Coast
Oct-23,14,-16,25,36,39,30,45,-10,-23,-22,Ivory Coast
Jun-16,11,-21,24,28,25,28,31,7,10,-49,Kenya
